datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-19 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-20 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-21 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-22 09:30:00-05:00,100000.0,100000.0,0.0
2023-12-23 09:30:00-05:00,100000.0,150000.0,0.0
2023-12-26 09:30:00-05:00,99977.83923741731,150000.0,-0.00022160762582690285
2023-12-27 09:30:00-05:00,99833.28228393546,150000.0,-0.0014458899550586768
2023-12-28 09:30:00-05:00,99681.33840959272,150000.0,-0.0015219761472993198
2023-12-29 09:30:00-05:00,99722.491351442,150000.0,0.000412844996926065
2023-12-30 09:30:00-05:00,99722.491351442,150000.0,0.0
